,Year,Platform,Genre,Total_games,North_america_sales(millions),Europe_sales(millions),Japan_sales(millions),Rest_of_world_sales(millions),Worldwide_sales(millions)
0,1980,2600,Shooter,2,6.56,0.43,0.0,0.08,7.07
1,1981,2600,Action,25,13.86,0.81,0.0,0.12,14.84
2,1982,2600,Puzzle,3,9.35,0.58,0.0,0.11,10.03
3,1983,2600,Action,7,2.67,0.17,0.0,0.02,2.86
4,1983,NES,Platform,4,1.58,0.36,3.62,0.06,5.62
5,1984,2600,Racing,1,0.26,0.01,0.0,0.0,0.27
6,1984,NES,Shooter,3,27.79,0.85,1.96,0.5,31.1
7,1985,2600,Puzzle,1,0.42,0.03,0.0,0.0,0.45
8,1985,DS,Action,1,0.0,0.0,0.02,0.0,0.02
9,1985,NES,Platform,4,29.93,3.77,8.67,0.8,43.17
10,1985,PC,Simulation,1,0.0,0.03,0.0,0.01,0.03
11,1986,2600,Shooter,1,0.35,0.02,0.0,0.0,0.37
12,1986,NES,Action,6,6.52,1.66,5.31,0.25,13.74
13,1987,2600,Action,2,1.04,0.06,0.0,0.01,1.12
14,1987,NES,Fighting,2,2.8,0.65,1.87,0.1,5.42
15,1988,2600,Shooter,1,0.47,0.03,0.0,0.01,0.51
16,1988,GB,Platform,1,0.82,0.23,0.35,0.03,1.43
17,1988,NES,Platform,3,15.52,4.76,5.35,0.67,26.3
18,1988,PC,Simulation,1,0.0,0.02,0.0,0.01,0.03
19,1989,2600,Action,1,0.45,0.02,0.0,0.01,0.47
20,1989,GB,Puzzle,3,26.34,3.6,6.77,0.83,37.54
21,1989,NES,Action,1,3.38,0.44,0.31,0.04,4.17
22,1990,GB,Racing,1,1.73,0.69,0.59,0.4,3.41
23,1990,GEN,Action,1,1.86,0.55,0.11,0.08,2.6
24,1990,NES,Puzzle,1,2.62,0.6,1.52,0.1,4.85
25,1990,SNES,Platform,1,12.78,3.75,3.54,0.55,20.61
26,1991,GB,Adventure,1,0.85,0.31,0.56,0.04,1.76
27,1991,GEN,Platform,1,3.03,0.91,0.26,0.13,4.34
28,1991,NES,Puzzle,3,0.86,0.16,1.38,0.11,2.51
29,1991,SNES,Action,3,2.42,0.91,1.85,0.13,5.31
30,1992,GB,Adventure,1,6.16,2.04,2.69,0.29,11.18
31,1992,GEN,Platform,1,4.47,1.2,0.16,0.19,6.03
32,1992,GG,Platform,1,0.0,0.0,0.04,0.0,0.04
33,1992,NES,Puzzle,1,0.41,0.06,0.63,0.02,1.12
34,1992,PC,Simulation,1,1.2,0.84,0.0,0.1,2.14
35,1992,SNES,Fighting,4,3.89,1.34,5.42,0.19,10.85
36,1993,GEN,Strategy,1,0.0,0.0,0.19,0.0,0.19
37,1993,NES,Platform,2,1.07,0.21,0.96,0.03,2.27
38,1993,NG,Fighting,2,0.0,0.0,0.21,0.0,0.21
39,1993,SCD,Platform,1,1.0,0.36,0.09,0.05,1.5
